origin,translation,score original word,score for translation quality-Yulis,Awan,Dika,x-times,prop #translated (x times),prop #translated (x times),vote up,Propotion of vote up,vote down,score,min,max,mean,median,std,time-needed,,,,,,,,
a slow-onset disaster,bencana yang muncul perlahan-lahan,3,4,4,4,1,"2,945","29,449",2,1,0,2,8.306,8.306,8.306,8.306,0,[8.3060000000000009],,,,,,,,
a slow-onset disaster,sebuah bencana yang lamban,,3,3,3,1,"2,945","29,449",2,1,0,2,11.562,11.562,11.562,11.562,0,[11.562000000000001],,,,,,,,
a slow-onset disaster,bencana yang mulai perlahan-lahan,,5,4,4,1,"2,945","29,449",2,1,0,2,13.152,13.152,13.152,13.152,0,[13.152000000000001],,,,,,,,
a slow-onset disaster,bencana yang datang perlahan,,3,3,3,1,"2,945","29,449",2,1,0,2,57.007,57.007,57.007,57.007,0,[57.006999999999998],,,,,,,,
a slow-onset disaster,bencana yang lamban,,2,2,1,1,"2,945","29,449",2,1,0,2,32.564,32.564,32.564,32.564,0,[32.564],,,,,,,,
a slow-onset disaster,serangan bencana perlahan,,2,2,2,1,"2,945","29,449",2,1,0,2,22.446,22.446,22.446,22.446,0,[22.445999999999998],,,,,,,,
a slow-onset disaster,suatu bencana serangan lambat,,2,2,2,1,"2,945","29,449",2,1,0,2,58.197,58.197,58.197,58.197,0,[58.196999999999996],,,,,,,,
a slow-onset disaster,bencana lambat,,1,2,1,1,"2,945","29,449",2,1,0,2,11.769,11.769,11.769,11.769,0,[11.769],,,,,,,,
a sudden-onset disaster,sebuah bencana yang tiba-tiba terjadi,3,5,5,5,2,"5,890","58,898",4,1,0,4,9.247,10.879,10.063,10.063,"566,666,667","[9.2469999999999999, 10.879000000000001]",,,,,,,,
a sudden-onset disaster,bencana yang tiba-tiba,,4,4,4,2,"5,890","58,898",3,"0,75",1,2,31.579,45.137,38.358,38.358,6.779,"[31.579000000000001, 45.137]",,,,,,,,
a sudden-onset disaster,sebuah bencana yang mendadak terjadi,,5,5,5,1,"2,945","29,449",2,1,0,2,38.744,38.744,38.744,38.744,0,[38.744],,,,,,,,
a sudden-onset disaster,bencana yang tiba-tiba terjadi,,5,5,5,1,"2,945","29,449",2,1,0,2,17.411,17.411,17.411,17.411,0,[17.410999999999998],,,,,,,,
a sudden-onset disaster,suatu bencana yang datang tiba-tiba,,5,4,5,1,"2,945","29,449",2,1,0,2,58.729,58.729,58.729,58.729,0,[58.728999999999999],,,,,,,,
a sudden-onset disaster,bencana mendadak,,4,4,4,1,"2,945","29,449",1,"0,5",1,0,21.209,21.209,21.209,21.209,0,[21.209],,,,,,,,
acceptable risk,risiko yang dapat diterima,3,5,5,5,8,"23,559","235,592",15,1,0,15,5.763,50.173,18.431.625,112.365,1.405.327.766,"[5.7629999999999999, 10.484000000000002, 10.232999999999999, 7.8279999999999994, 50.173000000000002, 11.989000000000001, 29.228999999999999, 21.754000000000001]",,,,,,,,
acceptable risk,resiko yang dapat diterima,,5,5,5,3,"8,835","88,347",5,1,0,5,11.577,17.624,14.27,13.609,2.512.534.312,"[17.624000000000002, 11.577, 13.609000000000002]",,,,,,,,
acceptable risk,risiko yang diterima,,4,2,3,1,"2,945","29,449",2,1,0,2,8.671,8.671,8.671,8.671,0,[8.6709999999999994],,,,,,,,
acceptable risk,risiko yang diiyakan,,3,1,1,1,"2,945","29,449",2,1,0,2,6.586,6.586,6.586,6.586,0,[6.5860000000000003],,,,,,,,
acceptable risk,resiko yang dapat di terima,,5,5,5,1,"2,945","29,449",2,1,0,2,32.616,32.616,32.616,32.616,0,[32.616],,,,,,,,
acceptable risk,risiko yang bisa diterima,,5,5,5,1,"2,945","29,449",2,1,0,2,13.574,13.574,13.574,13.574,0,[13.574000000000002],,,,,,,,
acceptable risk,risiko dalam batas toleransi,,4,5,5,1,"2,945","29,449",2,1,0,2,20.296,20.296,20.296,20.296,0,[20.295999999999999],,,,,,,,
acceptable risk,resiko yang diterima,,4,2,3,1,"2,945","29,449",1,1,0,1,5.148,5.148,5.148,5.148,0,[5.1479999999999997],,,,,,,,
acceptable risk,resiko yanh bisa diterima,,4,5,5,1,"2,945","29,449",0,0,2,-2,7.791,7.791,7.791,7.791,0,[7.7910000000000004],,,,,,,,
accepting financial,menerima keuangan,2,4,3,3,7,"20,614","206,143",11,"916,666,667",1,10,5.808,80.843,2.693.071.429,10.408,2.617.908.789,"[7.6829999999999998, 49.631, 10.307, 23.835000000000001, 80.843000000000004, 10.407999999999999, 5.8079999999999998]",,,,,,,,
accepting financial,penerimaan finansial,,4,3,3,2,"5,890","58,898",4,1,0,4,5.855,10.396,81.255,81.255,22.705,"[10.395999999999999, 5.8550000000000004]",,,,,,,,
accepting financial,menerima uang,,4,4,3,1,"2,945","29,449",2,1,0,2,7.757,7.757,7.757,7.757,0,[7.7570000000000006],,,,,,,,
accepting financial,menerima bantuan finansial,,4,5,5,1,"2,945","29,449",2,1,0,2,4.662,4.662,4.662,4.662,0,[4.6619999999999999],,,,,,,,
accepting financial,menerima finansial,,4,4,4,1,"2,945","29,449",2,1,0,2,14.874,14.874,14.874,14.874,0,[14.874000000000001],,,,,,,,
access,akses,3,5,5,5,19,"55,953","559,531",36,1,0,36,1.871,17.335,5.458.947.368,4.001,3.778.188.447,"[2.4130000000000003, 4.4500000000000002, 7.1029999999999998, 1.871, 8.1769999999999996, 2.6120000000000001, 5.2599999999999998, 4.0010000000000003, 11.069000000000001, 2.5789999999999997, 17.335000000000001, 2.0059999999999998, 2.8580000000000001, 8.2629999999999999, 8.3230000000000004, 3.4500000000000002, 5.0030000000000001, 3.4939999999999998, 3.4530000000000003]",,,,,,,,
access,mengakses,,4,5,4,3,"8,835","88,347",4,1,0,4,5.667,62.562,3.206.166.667,27.956,2.340.801.331,"[5.6670000000000007, 62.561999999999998, 27.956]",,,,,,,,
access,jalan,,4,3,3,1,"2,945","29,449",1,1,0,1,11.163,11.163,11.163,11.163,0,[11.163],,,,,,,,
access to financial services,akses ke layanan keuangan,3,5,5,5,4,"11,780","117,796",8,1,0,8,13.208,35.299,212.085,181.635,8.927.609.604,"[35.298999999999999, 13.208, 13.821, 22.506]",,,,,,,,
