source-word,target-word,origin_n_show,origin_total_duration,origin_mean_duration,origin_median_duration,origin_total_vote_up,origin_mean_vote_up,origin_median_vote_up,origin_total_vote_down,origin_mean_vote_down,origin_median_vote_down,origin_n_gram,origin_n_char,origin_n_user,origin_n_diff_translation,origin_readibility,origin_mean_n_gram_translation,origin_mean_n_char_translation,origin_num_most_common_translation,origin_most_common_n_gram,origin_most_common_n_char,origin_word_entropy,translation_n_show,translation_total_duration,translation_mean_duration,translation_median_duration,translation_total_vote_up,translation_mean_vote_up,translation_median_vote_up,translation_total_vote_down,translation_mean_vote_down,translation_median_vote_down,translation_n_gram,translation_n_char,translation_n_user,is_top_translation,translation_lv_distance,translation_jaro_distance,manual_origin_source,manual_assessment
medical office,kantor obat-obatan,28,423.381,15.12075,10.1805,49,1.75,2.0,2,0.0714285714286,0.0,2,14,28,10,1,2.0,14.2857142857,14,2,12,2.34975692516,1,7.809,7.809,7.809,2,2.0,2.0,0,0.0,0.0,2,18,1,0,16,0.349206349206,3.0,3.0
tornado,hurricane,21,344.511,16.4052857143,14.081,32,1.52380952381,2.0,4,0.190476190476,0.0,1,7,21,8,1,1.95238095238,12.3333333333,8,2,11,2.58279361325,1,12.818,12.818,12.818,2,2.0,2.0,0,0.0,0.0,1,9,1,0,7,0.502645502646,3.0,5.0
life skills,keterampilan untuk hidup,14,200.182,14.2987142857,14.026,23,1.64285714286,2.0,3,0.214285714286,0.0,2,11,14,8,0,2.21428571429,17.6428571429,4,2,18,2.75343438619,1,13.436,13.436,13.436,2,2.0,2.0,0,0.0,0.0,3,24,1,0,20,0.42095959596,3.0,5.0
weather-related events,kejadian yang berkaitan dengan cuaca,14,252.404,18.0288571429,16.188,23,1.64285714286,2.0,4,0.285714285714,0.0,2,22,14,9,1,3.78571428571,28.8571428571,3,3,19,2.98522813603,1,21.477,21.477,21.477,2,2.0,2.0,0,0.0,0.0,5,36,1,0,28,0.444107744108,3.0,5.0
development principles,pengembangan prinsip,15,311.084,20.7389333333,14.355,26,1.73333333333,2.0,1,0.0666666666667,0.0,2,22,15,6,2,2.0,20.3333333333,5,2,19,2.41592206384,1,85.06,85.06,85.06,2,2.0,2.0,0,0.0,0.0,2,20,1,0,14,0.593123543124,3.0,1.0
operating,bekerja/beroperasi,21,365.086,17.385047619,10.955,37,1.7619047619,2.0,2,0.0952380952381,0.0,1,9,21,6,1,1.04761904762,10.619047619,8,1,10,2.22042978114,1,7.414,7.414,7.414,2,2.0,2.0,0,0.0,0.0,1,18,1,0,14,0.5,3.0,5.0
reinforcing pillars,pilar penguatan,10,159.309,15.9309,16.2,15,1.5,2.0,3,0.3,0.0,2,19,10,8,2,2.2,17.8,3,2,16,2.84643934467,1,8.735,8.735,8.735,2,2.0,2.0,0,0.0,0.0,2,15,1,0,15,0.543079922027,2.0,1.0
specialist services,layanan khusus,20,363.666,18.1833,14.943,39,1.95,2.0,1,0.05,0.0,2,19,20,8,2,2.0,16.35,6,2,17,2.64643934467,1,5.772,5.772,5.772,2,2.0,2.0,0,0.0,0.0,2,14,1,0,16,0.406766917293,3.0,4.0
unseasonably warm,terlalu hangat,13,398.605,30.6619230769,28.562,18,1.38461538462,2.0,6,0.461538461538,0.0,2,17,13,12,1,3.23076923077,21.0769230769,2,2,15,3.54659356429,1,11.707,11.707,11.707,1,1.0,1.0,1,1.0,1.0,2,14,1,0,14,0.555672268908,1.0,2.0
wildland fires,pembakaran lahan liar,12,316.287,26.35725,20.378,18,1.5,1.5,3,0.25,0.0,2,14,12,6,1,2.5,16.5,4,3,20,2.35538854221,1,46.757,46.757,46.757,2,2.0,2.0,0,0.0,0.0,3,21,1,0,18,0.460317460317,3.0,3.0
explosion registered,ledakan yang terdaftar,20,482.078,24.1039,18.703,33,1.65,2.0,3,0.15,0.0,2,20,20,13,2,2.45,19.25,8,2,17,3.12192809489,1,9.047,9.047,9.047,2,2.0,2.0,0,0.0,0.0,3,22,1,0,18,0.518181818182,1.0,3.0
human-induced hazards,bahaya yang dilakukan manusia,15,406.105,27.0736666667,23.204,28,1.86666666667,2.0,1,0.0666666666667,0.0,2,21,15,12,2,3.93333333333,29.1333333333,2,3,25,3.50689059561,1,17.534,17.534,17.534,1,1.0,1.0,1,1.0,1.0,4,29,1,0,22,0.482858138031,3.0,4.0
distribution facilities,sarana pendistribusian,17,306.037,18.0021764706,9.288,28,1.64705882353,2.0,0,0.0,0.0,2,23,17,6,2,2.0,20.6470588235,10,2,20,1.89809337367,1,104.68,104.68,104.68,2,2.0,2.0,0,0.0,0.0,2,22,1,0,19,0.564862673558,3.0,5.0
