source-word,target-word,origin_n_show,origin_total_duration,origin_mean_duration,origin_median_duration,origin_total_vote_up,origin_mean_vote_up,origin_median_vote_up,origin_total_vote_down,origin_mean_vote_down,origin_median_vote_down,origin_n_gram,origin_n_char,origin_n_user,origin_n_diff_translation,origin_readibility,origin_mean_n_gram_translation,origin_mean_n_char_translation,origin_num_most_common_translation,origin_most_common_n_gram,origin_most_common_n_char,origin_word_entropy,translation_n_show,translation_total_duration,translation_mean_duration,translation_median_duration,translation_total_vote_up,translation_mean_vote_up,translation_median_vote_up,translation_total_vote_down,translation_mean_vote_down,translation_median_vote_down,translation_n_gram,translation_n_char,translation_n_user,is_top_translation,translation_lv_distance,translation_jaro_distance,manual_origin_source,manual_assessment
joint disaster relief,bantuan bencana gabungan,14,315.787,22.5562142857,22.543,24,1.71428571429,2.0,2,0.142857142857,0.0,3,21,14,7,2,3.14285714286,24.5714285714,8,3,23,2.09306920777,1,16.936,16.936,16.936,2,2.0,2.0,0,0.0,0.0,3,24,1,0,21,0.400793650794,3.0,5.0
skilled birth attendant,petugas persalinan terampil,14,395.119,28.2227857143,18.7315,24,1.71428571429,2.0,3,0.214285714286,0.0,3,23,14,10,1,2.28571428571,16.0,4,1,5,3.09306920777,1,13.179,13.179,13.179,2,2.0,2.0,0,0.0,0.0,3,27,1,0,22,0.566214247374,3.0,5.0
downturn,kecenderungan untuk menurun,18,443.476,24.6375555556,16.6705,30,1.66666666667,2.0,5,0.277777777778,0.0,1,8,18,7,1,1.66666666667,14.4444444444,7,1,9,2.4387439204,3,37.87,12.6233333333,12.654,5,1.66666666667,2.0,1,0.333333333333,0.0,3,27,3,0,21,0.546296296296,3.0,5.0
mental,jiwa,18,221.464,12.3035555556,7.073,34,1.88888888889,2.0,1,0.0555555555556,0.0,1,6,18,6,1,1.0,5.88888888889,13,1,6,1.49738520501,1,4.552,4.552,4.552,2,2.0,2.0,0,0.0,0.0,1,4,1,0,5,0.472222222222,3.0,5.0
active recreational sports education program,program edukasi olahraga hiburan aktif,16,617.399,38.5874375,32.045,28,1.75,2.0,2,0.125,0.0,5,44,16,9,4,5.125,42.5,7,5,42,2.6467822216,1,15.304,15.304,15.304,2,2.0,2.0,0,0.0,0.0,5,38,1,0,36,0.626572744994,1.0,2.0
bathing facilities,fasilitas membersihkan diri,19,279.226,14.6961052632,9.335,32,1.68421052632,2.0,1,0.0526315789474,0.0,2,18,19,5,1,2.15789473684,16.8947368421,12,2,15,1.62822027603,1,8.018,8.018,8.018,1,1.0,1.0,1,1.0,1.0,3,27,1,0,22,0.564814814815,3.0,4.0
local authority for disaster management,aparat setempat untuk penanganan bencana,18,583.853,32.4362777778,21.9835,28,1.55555555556,2.0,5,0.277777777778,0.0,5,39,18,13,4,5.11111111111,39.7777777778,6,5,38,3.30827083454,1,22.088,22.088,22.088,2,2.0,2.0,0,0.0,0.0,5,40,1,0,32,0.568337218337,3.0,5.0
active recreational sports education program,program pendidikan keolahragaan dan rekreasi aktif,16,617.399,38.5874375,32.045,28,1.75,2.0,2,0.125,0.0,5,44,16,9,4,5.125,42.5,7,5,42,2.6467822216,1,61.073,61.073,61.073,2,2.0,2.0,0,0.0,0.0,6,50,1,0,42,0.616161616162,1.0,4.0
voluntary,sukarelawan,13,212.614,16.3549230769,12.169,25,1.92307692308,2.0,1,0.0769230769231,0.0,1,9,13,3,1,1.07692307692,8.69230769231,11,1,8,0.773228348525,1,22.182,22.182,22.182,1,1.0,1.0,1,1.0,1.0,1,11,1,0,10,0.436026936027,3.0,4.0
deepest gratitude,rasa terima kasih yang terdalam,16,328.205,20.5128125,16.036,31,1.9375,2.0,1,0.0625,0.0,2,17,16,14,2,4.375,30.8125,2,4,25,3.75,1,18.574,18.574,18.574,2,2.0,2.0,0,0.0,0.0,5,31,1,0,26,0.51578402622,3.0,5.0
human-induced hazards,bahaya yang dilakukan manusia,15,406.105,27.0736666667,23.204,28,1.86666666667,2.0,1,0.0666666666667,0.0,2,21,15,12,2,3.93333333333,29.1333333333,2,3,25,3.50689059561,1,17.534,17.534,17.534,1,1.0,1.0,1,1.0,1.0,4,29,1,0,22,0.482858138031,3.0,4.0
flood relief,bantuan korban banjir,17,270.589,15.917,9.084,31,1.82352941176,2.0,1,0.0588235294118,0.0,2,12,17,10,1,2.41176470588,17.0,8,2,14,2.83659166811,1,60.133,60.133,60.133,2,2.0,2.0,0,0.0,0.0,3,21,1,0,19,0.353174603175,3.0,2.0
badly damaged,sangat rusak,16,178.027,11.1266875,8.479,28,1.75,2.0,0,0.0,0.0,2,13,16,5,1,2.0,11.0625,11,2,11,1.49664076219,1,8.734,8.734,8.734,2,2.0,2.0,0,0.0,0.0,2,12,1,0,11,0.463675213675,3.0,5.0
older people,orang lanjut usia,20,183.714,9.1857,7.8475,32,1.6,2.0,4,0.2,0.0,2,12,20,10,1,2.9,15.65,7,4,20,2.83935387217,1,8.915,8.915,8.915,2,2.0,2.0,0,0.0,0.0,3,17,1,0,15,0.43954248366,3.0,5.0
basic equipment,kebutuhan dasar,19,264.578,13.9251578947,10.537,33,1.73684210526,2.0,4,0.210526315789,0.0,2,15,19,6,2,2.0,15.5263157895,11,2,15,1.92930920792,2,21.231,10.6155,10.6155,3,1.5,1.5,1,0.5,0.5,2,15,2,0,15,0.433333333333,3.0,5.0
instructed,diinstrusikan,16,220.219,13.7636875,11.22,24,1.5,2.0,4,0.25,0.0,1,10,16,8,1,1.25,13.8125,9,1,14,2.21691718669,1,11.262,11.262,11.262,2,2.0,2.0,0,0.0,0.0,1,13,1,0,7,0.687179487179,3.0,5.0
live coverage,siaran langsung,15,295.51,19.7006666667,19.537,20,1.33333333333,2.0,8,0.533333333333,0.0,2,13,15,8,1,2.13333333333,15.3333333333,6,2,13,2.78063906223,1,11.044,11.044,11.044,0,0.0,0.0,2,2.0,2.0,2,15,1,0,13,0.505982905983,3.0,5.0
on call budget,anggaran siap cair,13,339.851,26.1423846154,19.626,16,1.23076923077,1.0,7,0.538461538462,0.0,3,14,13,12,1,2.38461538462,17.6923076923,2,3,23,3.54659356429,1,64.847,64.847,64.847,2,2.0,2.0,0,0.0,0.0,3,18,1,0,15,0.41164021164,1.0,5.0
economic costs of damages,dana reparasi,14,398.897,28.4926428571,21.374,20,1.42857142857,1.5,3,0.214285714286,0.0,4,25,14,13,2,3.42857142857,24.3571428571,2,4,28,3.6644977792,1,81.122,81.122,81.122,1,1.0,1.0,0,0.0,0.0,2,13,1,0,21,0.463296703297,3.0,4.0
technological hazard,bahaya yang berasal dari kondisi teknologi,17,350.371,20.6100588235,7.777,32,1.88235294118,2.0,2,0.117647058824,0.0,2,20,17,9,2,2.29411764706,18.3529411765,9,2,16,2.58496250072,1,98.265,98.265,98.265,2,2.0,2.0,0,0.0,0.0,6,42,1,0,36,0.499328449328,2.0,4.0
potential hazards,bahaya yang mungkin terjadi,21,324.589,15.4566190476,12.698,37,1.7619047619,2.0,2,0.0952380952381,0.0,2,17,21,9,2,2.2380952381,17.1428571429,7,2,14,2.62273363903,1,13.208,13.208,13.208,2,2.0,2.0,0,0.0,0.0,4,27,1,0,23,0.509803921569,3.0,5.0
learning schools,sekolah percobaan,12,208.43,17.3691666667,13.1015,19,1.58333333333,2.0,3,0.25,0.0,2,16,12,8,1,2.16666666667,18.8333333333,4,2,20,2.75162916739,1,11.79,11.79,11.79,1,1.0,1.0,0,0.0,0.0,2,17,1,0,15,0.573529411765,1.0,3.0
disaster relief skills,kemampuan tahan bencana,17,532.151,31.303,17.273,29,1.70588235294,2.0,3,0.176470588235,0.0,3,22,17,12,2,3.11764705882,30.0588235294,3,3,28,3.45482239995,1,15.85,15.85,15.85,0,0.0,0.0,1,1.0,1.0,3,23,1,0,21,0.344532279315,3.0,2.0
wintry weather,musim dingin,14,243.072,17.3622857143,18.1745,27,1.92857142857,2.0,1,0.0714285714286,0.0,2,14,14,5,1,2.71428571429,16.7142857143,6,3,18,2.20623892865,1,18.528,18.528,18.528,2,2.0,2.0,0,0.0,0.0,2,12,1,0,13,0.376984126984,3.0,5.0
high-rise buildings,bangunan bertingkat tinggi,15,379.03,25.2686666667,14.622,26,1.73333333333,2.0,1,0.0666666666667,0.0,2,19,15,9,2,2.4,19.0,5,2,15,2.86624789731,1,40.063,40.063,40.063,1,1.0,1.0,0,0.0,0.0,3,26,1,0,21,0.546129309287,3.0,5.0
psychological,kejiwaan,16,196.264,12.2665,8.9255,24,1.5,2.0,6,0.375,0.0,1,13,16,8,1,1.125,10.1875,8,1,10,2.375,1,35.05,35.05,35.05,1,1.0,1.0,0,0.0,0.0,1,8,1,0,12,0.400641025641,3.0,5.0
