username,source-word,target-word,user_point,user_is_male,user_is_female,user_is_age_0,user_is_age_15,user_is_age_20,user_is_age_25,user_is_age_30,user_is_age_35,user_is_age_40,user_languages,user_number_duration_played,user_mean_duration_played,user_median_duration_played,user_total_duration_played,user_number_time_to_translate,user_mean_time_to_translate,user_median_time_to_translate,user_total_time_to_translate,user_number_time_to_alternate,user_mean_time_to_alternate,user_median_time_to_alternate,user_total_time_to_alternate,user_number_time_to_vote_up,user_mean_time_to_vote_up,user_median_time_to_vote_up,user_total_time_to_vote_up,user_number_time_to_vote_down,user_mean_time_to_vote_down,user_median_time_to_vote_down,user_total_time_to_vote_down,user_number_time_to_categorize,user_mean_time_to_categorize,user_median_time_to_categorize,user_total_time_to_categorize,user_number_skip_translate,user_mean_skip_translate,user_median_skip_translate,user_total_skip_translate,user_number_skip_alternate,user_mean_skip_alternate,user_median_skip_alternate,user_total_skip_alternate,user_number_skip_vote,user_mean_skip_vote,user_median_skip_vote,user_total_skip_vote,user_number_skip_categorize,user_mean_skip_categorize,user_median_skip_categorize,user_total_skip_categorize,origin_n_show,origin_total_duration,origin_mean_duration,origin_median_duration,origin_total_vote_up,origin_mean_vote_up,origin_median_vote_up,origin_total_vote_down,origin_mean_vote_down,origin_median_vote_down,origin_n_gram,origin_n_char,origin_n_user,origin_n_diff_translation,origin_readibility,origin_mean_n_gram_translation,origin_mean_n_char_translation,origin_num_most_common_translation,origin_most_common_n_gram,origin_most_common_n_char,origin_word_entropy,translation_n_show,translation_total_duration,translation_mean_duration,translation_median_duration,translation_total_vote_up,translation_mean_vote_up,translation_median_vote_up,translation_total_vote_down,translation_mean_vote_down,translation_median_vote_down,translation_n_gram,translation_n_char,translation_n_user,action_duration,action_vote_up,action_vote_down,is_top_translation,translation_lv_distance,translation_jaro_distance,manual_origin_source,manual_assessment
alfinuri05,capitalizing,mengkapitalisasi,9130,0,1,0,0,1,0,0,0,0,2,12,889.95,813.83,10679.36,196,13.51,11.21,2647.82,73,16.18,15.17,1181.42,321,2.82,2.05,906.72,26,5.84,4.56,151.76,323,5.58,4.67,1803.43,168,9.2,4.02,1545.96,291,6.22,3.4,1810.25,24,13.13,4.18,315.13,8,16.81,8.27,134.48,18,337.888,18.7715555556,15.51,31,1.72222222222,2.0,1,0.0555555555556,0.0,1,12,18,5,1,1.16666666667,13.2222222222,13,1,12,1.3862740939,1,7.431,7.431,7.431,1,1.0,1.0,0,0.0,0.0,1,16,1,7.431,1,0,0,9,0.722222222222,3.0,5.0
pnrj,oncologists,ahli penyakit tumor,463845,0,1,0,0,0,1,0,0,0,1,1214,740.8,392.64,899331.38,2017,17.84,14.69,35974.45,3531,14.09,11.16,49739.6,48081,2.45,1.42,117676.27,2638,4.61,3.07,12158.73,9556,4.67,3.38,44629.81,5053,5.16,2.64,26066.77,38522,5.02,3.25,193242.8,5430,4.96,2.79,26911.79,46494,4.89,3.25,227132.94,12,327.904,27.3253333333,13.0875,20,1.66666666667,2.0,2,0.166666666667,0.0,1,11,12,7,1,2.0,13.5833333333,4,2,13,2.77736279506,1,50.584,50.584,50.584,1,1.0,1.0,1,1.0,1.0,3,19,1,50.584,1,1,0,17,0.441387559809,3.0,5.0
nyoman.sudarsana,tornado,angin puyuh,20945,1,0,0,0,0,0,1,0,0,1,59,812.25,459.11,47922.58,525,30.44,23.02,15978.76,316,37.08,31.02,11716.78,226,11.21,6.38,2534.49,89,20.46,13.3,1821.07,339,16.57,11.12,5617.55,2,41.39,41.39,82.77,5,61.39,61.77,306.96,4,49.64,39.86,198.56,3,71.87,72.31,215.6,21,344.511,16.4052857143,14.081,32,1.52380952381,2.0,4,0.190476190476,0.0,1,7,21,8,1,1.95238095238,12.3333333333,8,2,11,2.58279361325,1,15.446,15.446,15.446,0,0.0,0.0,2,2.0,2.0,2,11,1,15.446,0,2,0,10,0.322510822511,3.0,5.0
mariasatriyo,imminent danger,bahaya yang segera terjadi,850,0,1,0,1,0,0,0,0,0,1,1,907.47,907.47,907.47,19,15.88,10.76,301.8,11,17.25,19.41,189.74,13,6.22,4.1,80.87,4,7.3,6.81,29.19,20,8.2,7.26,163.94,2,7.4,7.4,14.8,3,9.85,9.42,29.55,4,7.28,6.37,29.11,0,,,0.0,18,556.93,30.9405555556,23.622,34,1.88888888889,2.0,2,0.111111111111,0.0,2,15,18,11,1,3.61111111111,21.6666666667,5,4,24,3.19161164175,1,29.699,29.699,29.699,2,2.0,2.0,0,0.0,0.0,4,26,1,29.699,2,0,0,21,0.447008547009,3.0,5.0
adelia11,stimulate local economies,mendorong ekonomi daerah,12755,0,1,0,0,0,1,0,0,0,1,28,804.15,424.89,22516.3,369,20.98,14.56,7742.51,109,17.91,13.21,1952.0,221,5.02,3.3,1109.4,12,17.44,7.19,209.25,310,7.89,5.78,2445.58,311,10.08,4.72,3135.61,232,7.36,3.99,1707.06,124,6.68,3.87,828.24,26,16.61,8.01,431.82,14,343.66,24.5471428571,16.9375,26,1.85714285714,2.0,1,0.0714285714286,0.0,3,25,14,10,2,3.0,25.8571428571,3,3,24,3.18200581476,1,40.875,40.875,40.875,2,2.0,2.0,0,0.0,0.0,3,24,1,40.875,2,0,0,20,0.584658119658,3.0,5.0
liedevi,laundry facilities,fasilitas cuci baju,24045,0,1,0,0,0,1,0,0,0,1,62,315.31,164.2,19549.05,444,9.15,7.41,4061.23,429,13.54,10.58,5807.41,458,3.54,2.19,1623.01,28,4.22,3.59,118.23,494,6.92,4.63,3417.33,28,12.51,4.11,350.18,50,7.76,5.4,388.12,2,11.3,11.3,22.6,3,6.07,5.68,18.2,15,237.502,15.8334666667,13.457,27,1.8,2.0,2,0.133333333333,0.0,2,18,15,8,1,2.4,18.8666666667,4,2,16,2.78989809546,1,9.966,9.966,9.966,2,2.0,2.0,0,0.0,0.0,3,19,1,9.966,2,0,0,16,0.560623781676,3.0,5.0
dinechandra,relocating,memindahkan,67150,0,1,0,0,1,0,0,0,0,1,98,467.69,287.55,45834.08,1102,12.27,10.15,13522.5,1065,13.43,10.49,14299.24,1153,2.1,1.16,2421.42,10,6.2,3.93,62.02,1062,5.27,3.28,5593.63,10,28.82,31.31,288.23,30,30.4,16.55,912.06,11,13.6,2.66,149.58,88,8.68,3.09,763.66,18,133.126,7.39588888889,6.779,31,1.72222222222,2.0,1,0.0555555555556,0.0,1,10,18,6,1,1.11111111111,9.72222222222,11,1,8,1.79166748438,1,7.353,7.353,7.353,1,1.0,1.0,0,0.0,0.0,1,11,1,7.353,1,0,0,9,0.504545454545,3.0,5.0
sribon,micronutrients deficiencies,malnutrisi,2080,0,1,0,0,0,1,0,0,0,1,1,3098.0,3098.0,3098.0,45,18.31,11.4,824.06,38,28.36,21.55,1077.7,24,6.94,3.96,166.6,17,6.38,5.25,108.38,53,7.09,6.11,376.03,5,12.85,10.88,64.25,9,21.84,28.88,196.59,3,39.35,41.53,118.04,3,19.11,22.83,57.33,20,628.478,31.4239,24.8975,36,1.8,2.0,3,0.15,0.0,2,27,20,9,2,2.15,22.95,10,2,23,2.46096404744,1,28.905,28.905,28.905,2,2.0,2.0,0,0.0,0.0,1,10,1,28.905,2,0,0,19,0.573765432099,3.0,3.0
stephenzch,empowers,memberi semangat,9330,1,0,0,1,0,0,0,0,0,1,17,586.69,117.47,9973.76,192,13.96,9.38,2680.41,103,15.42,12.28,1588.53,152,4.67,3.16,710.04,69,7.32,4.36,504.93,270,5.04,3.85,1360.71,39,12.5,5.6,487.32,160,6.65,4.2,1063.47,34,10.99,6.59,373.63,9,25.67,12.48,231.05,21,316.82,15.0866666667,9.002,38,1.80952380952,2.0,2,0.0952380952381,0.0,1,8,21,7,1,1.09523809524,12.7619047619,13,1,13,1.91109283536,1,26.55,26.55,26.55,1,1.0,1.0,1,1.0,1.0,2,16,1,26.55,1,1,0,13,0.579166666667,3.0,5.0
nyoman.sudarsana,relief organizations,organisasi pemberi bantuan,20945,1,0,0,0,0,0,1,0,0,1,59,812.25,459.11,47922.58,525,30.44,23.02,15978.76,316,37.08,31.02,11716.78,226,11.21,6.38,2534.49,89,20.46,13.3,1821.07,339,16.57,11.12,5617.55,2,41.39,41.39,82.77,5,61.39,61.77,306.96,4,49.64,39.86,198.56,3,71.87,72.31,215.6,9,190.546,21.1717777778,15.948,17,1.88888888889,2.0,0,0.0,0.0,2,20,9,6,2,2.22222222222,19.8888888889,4,2,18,2.28103611255,1,14.559,14.559,14.559,2,2.0,2.0,0,0.0,0.0,3,26,1,14.559,2,0,0,20,0.659294871795,3.0,5.0
