kolom,MeanDecreaseAccuracy,MeanDecreaseGini
user_point,17.16658295,55.81838298
user_is_male,3.105840829,12.71025231
user_is_female,1.522177411,12.22919295
user_is_age_0,-0.703899753,0.304997443
user_is_age_15,1.034360375,11.27358279
user_is_age_20,0.254537368,14.81814475
user_is_age_25,-0.380351946,12.35436731
user_is_age_30,3.581282736,8.998599857
user_is_age_35,-1.365098412,2.623170227
user_is_age_40,-0.265554259,3.037481513
user_languages,1.805670892,17.30025453
user_number_duration_played,11.36111029,43.70900161
user_mean_duration_played,10.05066021,80.13247337
user_median_duration_played,7.412364624,82.37372291
user_total_duration_played,15.43426659,57.01470577
user_number_time_to_translate,14.35520245,53.28965315
user_mean_time_to_translate,12.49171988,70.80087009
user_median_time_to_translate,12.70288389,70.12103418
user_total_time_to_translate,15.50474234,59.76748946
user_number_time_to_alternate,14.12436472,55.80615586
user_mean_time_to_alternate,10.50547065,66.70871097
user_median_time_to_alternate,10.69521854,68.995712
user_total_time_to_alternate,13.28547318,59.98731638
user_number_time_to_vote_up,17.0409054,53.69507953
user_mean_time_to_vote_up,15.04301065,69.14134125
user_median_time_to_vote_up,14.9275726,67.74945371
user_total_time_to_vote_up,16.91462322,56.20621763
user_number_time_to_vote_down,13.79347586,55.37150464
user_mean_time_to_vote_down,11.04386385,70.2160335
user_median_time_to_vote_down,11.16660063,71.31550853
user_total_time_to_vote_down,13.25167767,63.4777569
user_number_time_to_categorize,15.18331778,52.86992104
user_mean_time_to_categorize,12.51577154,68.87045142
user_median_time_to_categorize,12.06845328,67.74759601
user_total_time_to_categorize,15.85789596,56.69678956
user_number_skip_translate,15.64444055,50.41207127
user_mean_skip_translate,10.44366347,68.2083295
user_median_skip_translate,8.509618927,65.04612668
user_total_skip_translate,11.57392283,55.70643813
user_number_skip_alternate,16.31657034,54.17794058
user_mean_skip_alternate,9.553090395,66.70316433
user_median_skip_alternate,11.05474607,66.33663077
user_total_skip_alternate,15.50428842,56.40792044
user_number_skip_vote,11.49724323,45.29217752
user_mean_skip_vote,9.200312737,64.94758972
user_median_skip_vote,9.591524231,65.39109717
user_total_skip_vote,13.91185424,50.99971005
user_number_skip_categorize,12.10592972,50.01875131
user_mean_skip_categorize,10.11593568,66.65020584
user_median_skip_categorize,8.334319094,66.17351928
user_total_skip_categorize,14.43349959,55.32195053
origin_n_show,36.62170587,206.02451
origin_total_duration,54.91442444,337.6292192
origin_mean_duration,34.47802422,392.9780539
origin_median_duration,41.25828058,360.3542861
origin_total_vote_up,41.21366856,313.9711305
origin_median_vote_up,18.90200959,57.26082269
origin_total_vote_down,28.61680847,193.7392903
origin_mean_vote_down,43.95129404,392.6925044
origin_median_vote_down,10.26955634,14.19017982
origin_n_gram,18.17459235,85.42151373
origin_n_char,45.07144661,253.2892705
origin_n_user,31.37143278,207.3026725
origin_n_diff_translation,22.14582791,201.1099904
origin_readibility,20.4567544,102.2907588
origin_mean_n_gram_translation,35.05068821,307.6492921
origin_mean_n_char_translation,40.4022875,318.9583936
origin_num_most_common_translation,26.64212735,257.8262585
origin_most_common_n_gram,18.26688404,79.92885669
origin_most_common_n_char,39.71608191,232.8167724
origin_word_entropy,36.63291716,355.8744045
translation_n_show,26.37185614,227.5274075
translation_total_duration,37.68843845,338.9350789
translation_mean_duration,42.82234366,283.9351934
translation_median_duration,36.08962375,289.2382679
translation_total_vote_up,30.16617693,312.0371711
translation_mean_vote_up,37.40172236,232.9765589
translation_median_vote_up,16.14957588,103.2332757
translation_total_vote_down,23.43699311,85.30989878
translation_mean_vote_down,33.41461287,171.3338569
translation_median_vote_down,11.7570164,73.44233171
translation_n_gram,16.94016942,79.12775509
translation_n_char,40.07005639,234.8143575
translation_n_user,25.1652778,215.8379752
action_duration,23.88449323,151.6445567
action_vote_up,7.125315778,25.25704453
action_vote_down,7.339880666,35.7517282
is_top_translation,11.03498709,45.41351048
translation_lv_distance,39.33226111,233.4756005
translation_jaro_distance,57.00467818,311.4333338
user_point,17.16658295,55.81838298
