"","test_data.respon","predRF","predNB","predSVM","predC50"
"1",3,"3","1",3,"3"
"2",5,"5","5",5,"5"
"3",5,"3","3",5,"5"
"4",4,"4","1",5,"4"
"5",5,"5","5",5,"5"
"6",2,"2","1",5,"2"
"7",2,"2","2",5,"2"
"8",5,"5","5",5,"5"
"9",4,"4","5",5,"4"
"10",1,"1","1",3,"1"
"11",1,"1","1",5,"1"
"12",3,"3","2",3,"3"
"13",2,"2","5",5,"2"
"14",5,"5","5",5,"5"
"15",3,"3","3",1,"3"
"16",2,"2","1",5,"2"
"17",3,"3","5",5,"3"
"18",2,"2","5",5,"2"
"19",1,"1","1",3,"1"
"20",2,"2","1",3,"2"
"21",2,"2","1",5,"2"
"22",5,"5","5",5,"5"
"23",3,"3","5",5,"3"
"24",2,"2","1",5,"2"
"25",1,"1","2",1,"1"
"26",4,"4","1",5,"4"
"27",4,"4","2",5,"4"
"28",3,"3","1",3,"3"
"29",5,"5","5",5,"5"
"30",3,"3","3",2,"3"
"31",4,"4","5",5,"4"
"32",4,"4","5",5,"4"
"33",4,"4","5",5,"4"
"34",2,"2","1",3,"2"
"35",5,"5","5",5,"5"
"36",3,"3","1",5,"3"
"37",1,"1","5",5,"1"
"38",1,"1","1",3,"1"
"39",3,"3","5",5,"3"
"40",4,"4","5",5,"4"
"41",5,"5","2",5,"5"
"42",2,"2","2",2,"2"
"43",3,"3","5",5,"3"
"44",5,"4","5",5,"4"
"45",1,"1","1",5,"1"
"46",4,"4","1",1,"4"
"47",1,"1","1",5,"1"
"48",3,"3","1",5,"3"
"49",1,"1","5",1,"1"
"50",1,"1","1",3,"1"
"51",2,"2","2",3,"2"
"52",5,"4","4",3,"1"
"53",3,"3","1",5,"3"
"54",1,"1","1",5,"1"
"55",2,"2","5",5,"2"
"56",1,"1","1",3,"1"
"57",5,"5","5",5,"5"
"58",3,"3","5",5,"3"
"59",5,"5","5",5,"5"
"60",3,"3","4",1,"3"
"61",5,"5","5",5,"5"
"62",4,"4","5",5,"4"
"63",1,"1","5",5,"1"
"64",1,"1","2",1,"1"
"65",5,"5","5",5,"5"
"66",1,"1","1",3,"1"
"67",2,"2","1",5,"2"
"68",2,"2","1",5,"2"
"69",1,"1","1",1,"1"
"70",1,"1","1",1,"1"
"71",4,"4","1",5,"4"
"72",1,"1","1",5,"1"
"73",4,"4","2",4,"4"
"74",4,"4","2",3,"4"
"75",4,"4","5",5,"4"
"76",5,"5","5",5,"5"
"77",2,"2","5",5,"2"
"78",3,"3","5",5,"3"
"79",3,"3","1",3,"3"
"80",4,"4","5",5,"4"
"81",2,"2","5",5,"2"
"82",5,"5","2",5,"5"
"83",5,"5","1",5,"5"
"84",1,"1","1",5,"1"
"85",5,"5","5",5,"5"
"86",3,"3","4",3,"3"
"87",3,"3","5",5,"3"
"88",2,"2","1",3,"2"
"89",2,"2","1",1,"2"
"90",1,"1","1",1,"1"
"91",3,"3","1",3,"3"
"92",1,"1","1",3,"1"
"93",1,"1","1",3,"1"
"94",1,"1","2",5,"1"
"95",1,"1","1",3,"1"
"96",5,"5","5",5,"5"
"97",4,"4","4",1,"4"
"98",5,"5","5",5,"5"
"99",5,"5","5",5,"5"
"100",3,"3","2",3,"3"
"101",3,"3","5",5,"3"
"102",5,"5","5",5,"5"
"103",1,"1","5",5,"1"
"104",3,"3","4",5,"3"
"105",1,"1","2",1,"1"
"106",5,"5","5",5,"5"
"107",3,"3","2",3,"3"
"108",2,"2","4",3,"2"
"109",4,"4","5",5,"4"
"110",2,"2","2",3,"2"
"111",5,"5","5",5,"5"
"112",2,"2","4",5,"2"
"113",1,"1","1",3,"1"
"114",5,"2","1",3,"4"
"115",2,"2","5",5,"2"
"116",1,"1","1",3,"1"
"117",5,"5","5",5,"5"
"118",3,"3","1",5,"3"
"119",2,"2","1",3,"2"
"120",3,"3","1",5,"3"
"121",4,"4","4",5,"4"
"122",2,"2","5",5,"2"
"123",4,"4","4",3,"4"
"124",2,"2","1",3,"2"
"125",5,"5","5",5,"5"
"126",5,"5","5",5,"5"
"127",3,"3","1",3,"3"
"128",3,"3","5",5,"3"
"129",5,"5","5",5,"5"
"130",3,"3","5",5,"3"
"131",2,"2","1",3,"2"
"132",5,"5","5",5,"5"
"133",1,"1","1",1,"1"
"134",4,"4","3",5,"4"
"135",1,"1","3",5,"1"
"136",2,"2","5",5,"2"
"137",1,"1","1",3,"1"
"138",2,"2","1",3,"2"
"139",4,"4","5",5,"4"
"140",5,"5","5",5,"5"
"141",1,"1","1",5,"1"
"142",4,"4","5",5,"4"
"143",4,"4","1",5,"4"
"144",2,"2","5",5,"2"
"145",4,"4","5",5,"4"
"146",3,"3","5",5,"3"
"147",5,"5","5",5,"5"
"148",3,"3","2",5,"3"
"149",5,"5","4",5,"3"
"150",1,"1","1",1,"1"
"151",4,"4","5",5,"4"
"152",3,"3","1",5,"3"
"153",5,"5","5",5,"5"
"154",1,"1","1",5,"1"
"155",4,"4","5",5,"4"
"156",5,"5","3",2,"5"
"157",2,"2","4",5,"2"
"158",1,"1","5",5,"1"
"159",5,"5","5",5,"5"
"160",2,"2","2",1,"2"
"161",2,"2","5",5,"2"
"162",2,"2","5",5,"2"
"163",3,"3","1",3,"3"
"164",5,"5","5",5,"5"
"165",1,"1","3",1,"1"
"166",5,"5","5",5,"5"
"167",5,"5","5",5,"5"
"168",2,"2","2",3,"2"
"169",3,"3","1",3,"3"
"170",2,"2","3",5,"2"
"171",4,"4","4",3,"4"
"172",3,"3","3",3,"3"
"173",2,"2","4",5,"2"
"174",4,"4","5",5,"4"
"175",3,"3","4",5,"3"
"176",3,"3","5",5,"3"
"177",1,"1","1",5,"1"
"178",4,"4","2",1,"4"
"179",1,"1","3",3,"1"
"180",2,"2","5",5,"2"
"181",1,"1","1",5,"1"
"182",4,"4","5",5,"4"
"183",5,"5","5",5,"5"
"184",5,"5","2",5,"5"
"185",3,"3","1",2,"3"
"186",2,"2","1",5,"2"
"187",3,"3","5",5,"3"
"188",1,"1","5",5,"1"
"189",4,"4","5",5,"4"
"190",2,"2","2",1,"2"
"191",2,"2","5",5,"2"
"192",2,"2","1",5,"2"
"193",5,"5","5",5,"5"
"194",2,"2","2",2,"2"
"195",2,"2","5",5,"2"
"196",4,"4","5",5,"4"
"197",3,"3","5",5,"3"
"198",1,"1","1",5,"1"
"199",4,"4","1",5,"4"
"200",1,"1","1",1,"1"
"201",4,"4","2",4,"4"
"202",2,"2","2",2,"2"
"203",5,"5","5",5,"5"
"204",3,"3","1",3,"3"
"205",4,"4","5",5,"4"
"206",2,"2","1",3,"2"
"207",4,"4","5",5,"4"
"208",3,"3","1",1,"3"
"209",3,"3","5",5,"3"
"210",3,"3","2",3,"3"
"211",3,"3","5",5,"3"
"212",5,"5","5",5,"5"
"213",1,"1","1",3,"1"
"214",3,"3","5",5,"3"
"215",2,"2","1",5,"2"
"216",2,"2","1",5,"2"
"217",2,"2","1",3,"2"
"218",2,"2","2",1,"2"
"219",1,"1","1",3,"1"
"220",4,"4","5",5,"4"
"221",1,"1","4",3,"1"
"222",2,"2","2",1,"2"
"223",4,"4","5",5,"4"
"224",1,"1","1",3,"1"
"225",4,"4","5",5,"4"
"226",3,"3","5",5,"3"
"227",2,"2","4",1,"2"
"228",1,"1","1",1,"1"
"229",3,"3","5",5,"3"
"230",4,"4","2",5,"4"
"231",2,"2","2",5,"2"
"232",1,"1","1",5,"1"
"233",1,"1","1",1,"1"
"234",1,"1","1",1,"1"
"235",2,"2","2",3,"2"
"236",3,"3","2",3,"3"
"237",3,"3","1",5,"3"
"238",1,"1","1",3,"1"
"239",3,"3","4",1,"3"
"240",5,"5","5",5,"5"
"241",1,"1","1",5,"1"
"242",2,"2","1",2,"2"
"243",2,"2","3",3,"2"
"244",3,"3","5",5,"3"
"245",3,"3","5",5,"3"
"246",5,"5","5",5,"5"
"247",4,"4","5",5,"4"
"248",1,"1","2",3,"1"
"249",5,"5","5",5,"5"
"250",1,"1","4",5,"1"
"251",5,"5","5",5,"5"
"252",1,"1","1",1,"1"
"253",4,"4","4",5,"4"
"254",3,"3","4",5,"3"
"255",1,"1","1",5,"1"
"256",1,"1","1",3,"1"
"257",3,"3","1",3,"3"
"258",1,"1","1",5,"1"
"259",2,"2","4",5,"2"
"260",4,"4","3",5,"4"
"261",1,"1","1",5,"1"
"262",3,"3","1",1,"3"
"263",2,"2","2",2,"2"
"264",1,"1","1",5,"1"
"265",4,"4","4",5,"4"
"266",4,"4","5",5,"4"
"267",2,"2","1",5,"2"
"268",1,"1","1",1,"1"
"269",5,"4","5",5,"3"
"270",5,"5","5",5,"5"
"271",3,"3","2",2,"3"
"272",5,"5","2",5,"5"
"273",5,"5","5",5,"5"
"274",1,"1","1",5,"1"
"275",5,"5","5",5,"5"
"276",3,"3","5",5,"3"
"277",3,"3","5",5,"3"
"278",2,"2","1",3,"2"
"279",2,"2","4",3,"2"
"280",5,"5","5",5,"5"
"281",5,"5","5",5,"5"
"282",4,"4","5",5,"4"
"283",2,"2","2",3,"2"
"284",4,"4","1",5,"4"
"285",5,"5","5",5,"5"
"286",5,"5","5",5,"5"
"287",5,"5","4",3,"5"
"288",3,"3","1",5,"3"
"289",3,"3","3",5,"3"
"290",2,"2","5",5,"2"
"291",3,"3","5",5,"3"
"292",4,"4","5",4,"4"
"293",5,"5","4",3,"5"
"294",1,"1","1",5,"1"
"295",5,"5","5",5,"5"
"296",2,"2","4",5,"2"
"297",2,"2","1",5,"2"
"298",3,"3","4",5,"3"
"299",1,"1","1",3,"1"
"300",3,"3","1",5,"3"
"301",1,"1","1",5,"1"
"302",3,"3","5",5,"3"
"303",1,"1","1",1,"1"
"304",1,"1","1",3,"1"
"305",3,"3","5",5,"3"
"306",1,"1","1",3,"1"
"307",5,"5","1",5,"5"
"308",1,"1","1",3,"1"
"309",2,"2","5",5,"2"
"310",4,"4","4",5,"4"
"311",1,"1","1",5,"1"
"312",5,"5","5",5,"5"
"313",2,"2","5",5,"2"
"314",2,"2","5",5,"2"
