,test_data.respon,predRF,predC50,predSVM,predNB
1,5,5,5,5,5
2,4,4,4,5,4
3,5,5,5,5,5
4,4,4,4,5,2
5,4,4,4,5,5
6,5,5,5,5,1
7,5,5,5,5,5
8,5,5,4,5,5
9,5,5,5,5,5
10,5,5,5,5,5
11,5,5,5,5,5
12,5,5,5,5,5
13,5,5,5,5,5
14,5,5,5,5,5
15,5,5,5,5,5
16,5,5,5,5,5
17,5,5,5,5,5
18,5,5,5,4,4
19,3,5,5,5,1
20,5,5,5,5,5
21,5,5,5,5,5
22,5,5,5,5,5
23,5,5,5,5,5
24,2,3,2,5,1
25,5,5,5,5,5
26,5,5,5,5,5
27,5,5,5,5,5
28,5,5,5,5,5
29,5,5,5,4,5
30,4,4,4,3,2
31,5,5,5,5,5
32,3,4,4,5,2
33,5,5,5,5,5
34,5,5,5,5,5
35,2,4,5,5,1
36,5,5,5,4,5
37,5,5,5,5,5
38,4,4,4,5,5
39,4,5,5,5,3
40,4,4,3,3,1
41,5,5,5,5,5
42,4,5,4,5,1
43,3,3,3,5,5
44,5,5,5,5,5
45,5,5,5,5,5
46,5,5,5,5,5
47,5,5,3,5,2
48,5,5,5,5,4
49,5,4,5,5,5
50,1,3,3,1,3
51,5,5,5,1,1
52,3,3,3,5,5
53,5,5,5,5,5
54,5,5,3,5,5
55,5,5,5,5,5
56,5,5,5,5,5
57,5,5,5,3,1
58,5,5,5,5,5
59,5,5,5,1,5
60,5,5,5,5,4
61,5,5,5,5,5
62,5,5,5,5,5
63,2,2,2,3,2
64,5,5,5,5,5
65,5,5,3,5,5
66,5,5,5,5,5
67,5,5,5,5,5
68,5,5,5,5,5
69,5,5,5,5,5
70,4,4,4,5,5
71,5,5,5,5,5
72,5,5,5,5,5
73,5,5,5,5,5
74,3,4,4,5,2
75,4,5,5,1,1
76,5,5,5,4,5
77,5,5,5,5,5
78,5,5,5,5,5
79,5,5,5,5,5
80,5,5,5,5,3
81,5,5,5,5,5
82,4,4,5,5,1
83,5,5,5,5,2
84,5,5,5,5,5
85,4,4,4,5,5
86,5,5,5,1,5
87,5,5,5,5,5
88,4,4,4,5,4
89,3,5,5,5,1
90,4,4,4,1,2
91,5,5,5,5,5
92,5,5,5,5,5
93,5,5,5,5,1
94,4,4,4,5,5
95,5,5,5,5,5
96,5,5,5,5,5
97,4,4,4,5,5
98,5,5,5,5,5
99,5,5,5,5,5
100,5,5,5,5,5
101,5,5,5,5,5
102,4,4,4,5,2
103,5,5,5,5,5
104,1,3,1,1,1
105,5,5,5,5,3
106,5,5,5,5,5
107,5,5,5,5,2
108,3,3,3,5,1
109,5,5,5,2,5
110,4,4,4,5,5
111,5,5,5,3,2
112,3,3,3,5,5
113,4,3,1,1,1
114,3,3,2,5,1
115,2,2,2,5,2
116,4,4,4,5,5
117,5,5,5,1,1
118,4,4,4,5,5
119,5,5,5,5,5
120,3,5,5,5,5
121,5,5,5,5,5
122,4,4,4,5,5
123,5,5,5,5,5
124,3,5,5,1,3
125,5,5,5,5,5
126,5,5,5,5,4
127,5,5,5,5,5
128,5,5,5,5,5
129,5,5,5,5,5
130,3,5,5,1,1
131,5,5,5,5,5
132,5,5,5,5,2
133,3,3,1,5,5
134,5,5,5,2,3
135,3,3,3,5,2
136,5,5,5,5,5
137,4,4,4,5,5
138,4,4,4,5,5
139,3,3,3,3,4
140,5,5,5,5,5
141,4,4,5,5,2
142,2,3,1,5,1
143,4,4,4,5,5
144,5,5,5,5,5
145,5,5,5,5,5
146,5,5,5,5,5
147,5,5,5,5,5
148,5,5,5,5,5
149,4,4,5,5,2
150,5,5,5,5,5
151,5,5,5,5,1
152,5,5,5,5,5
153,2,2,2,3,2
154,3,1,5,1,1
155,5,5,5,1,5
156,4,4,4,5,4
157,5,5,5,5,5
158,5,5,5,5,5
159,5,5,4,5,5
160,5,5,5,3,3
161,5,5,5,5,5
162,5,5,5,5,1
163,5,5,5,5,5
164,3,5,5,5,3
165,5,5,5,5,1
166,5,5,5,5,5
167,5,5,5,5,5
168,5,3,3,3,1
169,5,5,4,5,5
170,5,5,5,5,5
171,5,5,5,5,5
172,1,1,1,1,1
173,5,5,5,5,5
174,5,5,5,5,5
175,5,5,5,5,5
176,5,5,5,5,5
177,4,4,4,5,5
178,5,5,5,5,5
179,5,5,5,5,3
180,5,5,5,5,1
181,5,5,5,5,5
182,5,5,2,5,5
183,5,5,5,5,5
184,3,5,5,5,1
185,5,5,5,5,1
186,5,5,5,5,1
187,4,4,4,5,5
188,5,3,3,1,1
189,5,5,5,5,5
190,2,4,5,5,1
191,5,5,5,5,4
192,4,4,4,1,2
193,3,3,3,5,4
194,5,5,5,5,5
195,5,5,5,5,2
196,5,5,5,5,5
197,5,5,5,5,5
198,3,3,3,3,1
199,1,3,5,5,1
200,5,5,5,5,1
201,5,5,5,1,5
202,5,5,5,5,4
203,5,5,5,5,1
204,5,5,5,5,5
205,3,3,3,5,5
206,5,5,5,5,5
207,5,5,5,5,3
208,5,5,5,1,3
209,5,5,5,5,5
210,5,5,5,5,5
211,5,5,5,5,5
212,5,5,5,5,5
213,3,5,5,5,1
214,2,2,3,1,2
215,5,5,5,4,4
216,5,5,5,5,5
217,5,5,2,5,2
218,4,4,4,5,5
219,5,5,5,5,5
220,4,4,4,5,5
221,3,5,5,5,2
222,5,5,5,5,5
223,3,3,3,5,5
224,5,5,5,5,5
225,5,5,5,5,5
226,5,5,5,5,5
227,5,5,5,5,5
228,4,4,4,4,3
229,4,4,4,5,4
230,5,5,5,5,4
231,5,5,5,5,5
232,5,5,5,5,1
233,5,5,5,5,5
234,3,3,3,5,5
235,4,4,4,5,5
236,5,5,5,5,5
237,5,5,5,5,5
238,5,5,5,1,4
239,5,5,5,5,5
240,5,5,5,5,5
241,5,5,5,5,5
242,5,5,2,3,2
243,5,5,5,5,1
244,5,5,3,5,5
245,5,5,5,5,1
246,5,5,5,1,5
247,5,5,5,5,5
248,5,5,5,5,5
249,5,5,5,5,5
250,5,5,5,5,5
251,4,4,4,5,5
252,5,5,5,5,5
253,5,5,5,5,5
254,3,3,3,5,5
255,5,5,5,5,5
256,1,5,5,5,2
257,5,5,5,5,5
258,2,5,2,1,1
259,1,5,5,5,1
260,5,5,5,3,1
261,5,5,5,5,5
262,3,5,5,5,1
263,5,5,5,5,1
264,2,2,2,5,4
265,5,5,5,5,5
266,4,4,4,5,5
267,5,5,5,5,5
268,5,3,2,3,1
269,5,5,5,5,5
270,5,5,5,5,5
271,5,5,5,5,5
272,5,5,5,5,5
273,5,5,5,5,5
274,5,5,5,5,5
275,5,5,5,5,1
276,5,5,5,5,5
277,5,5,5,5,5
278,5,5,5,5,5
279,4,4,4,5,5
280,5,5,5,5,5
281,3,5,5,1,1
282,4,4,4,4,2
283,5,5,5,2,3
284,5,5,4,5,1
285,2,5,2,1,1
286,5,5,5,1,1
287,5,5,5,5,5
288,2,5,5,5,5
289,5,5,5,5,4
290,5,5,5,5,5
291,5,5,5,5,5
292,5,5,5,5,5
293,5,5,5,5,5
294,5,5,5,5,5
295,5,5,5,5,2
296,3,3,2,1,1
297,5,5,5,5,5
298,4,4,4,5,5
299,5,5,5,5,4
300,5,5,5,5,1
301,5,5,5,5,5
302,5,5,5,5,2
303,5,5,5,5,5
304,5,5,5,5,5
305,5,5,5,5,5
306,5,5,5,5,5
307,3,3,3,5,5
308,5,5,5,5,5
309,5,5,5,4,1
310,3,3,3,3,1
311,4,5,5,1,5
312,2,2,3,3,1
313,5,5,5,5,4
314,3,5,5,5,1
315,5,5,5,5,5
316,5,5,5,5,4
317,5,5,5,4,2
318,5,5,5,5,2
319,5,5,5,4,3
320,4,4,3,5,5
321,5,5,5,5,5
322,5,5,5,5,5
323,1,2,4,1,1
324,3,5,5,5,5
325,5,5,5,5,5
326,5,5,5,5,1
327,1,1,1,5,4
328,5,5,5,5,5
329,3,5,5,5,2
330,3,3,3,3,2
331,3,3,3,1,1
332,5,5,5,5,5
333,4,4,4,5,5
334,5,5,5,5,5
335,5,5,5,5,4
336,3,3,3,5,5
337,5,5,5,5,5
338,5,5,5,5,5
339,4,4,4,5,5
340,2,4,1,1,1
341,5,5,5,1,1
342,3,3,3,5,2
343,5,5,5,5,5
344,5,5,1,3,1
345,4,4,3,5,5
346,1,5,5,1,5
347,5,5,5,5,5
348,5,5,5,5,4
349,3,3,3,1,2
350,5,3,5,5,5
351,5,5,5,5,5
352,4,4,4,5,5
353,5,5,5,5,5
354,5,5,5,5,5
355,5,5,5,5,5
356,1,3,5,5,1
357,5,5,5,5,5
358,5,5,5,5,5
359,5,5,5,5,5
360,3,3,3,5,3
361,3,3,3,5,5
362,5,5,5,5,5
363,3,3,3,5,5
364,4,4,5,4,2
365,5,5,5,5,1
366,5,5,5,5,5
367,3,4,3,1,2
368,5,5,5,5,5
369,5,5,5,5,5
370,5,5,5,5,4
371,5,5,5,5,5
372,5,5,5,5,5
373,1,2,5,5,1
374,5,5,5,5,5
375,4,4,4,5,5
376,5,4,3,1,1
377,5,5,5,5,5
378,3,5,5,5,1
379,5,5,5,5,5
380,4,4,4,1,1
381,5,5,5,5,5
382,5,5,4,1,3
383,5,5,5,5,3
384,5,5,5,5,5
385,5,5,3,5,5
386,5,5,5,5,4
387,5,5,5,5,2
388,5,5,5,5,5
389,5,5,5,5,5
390,5,5,5,5,5
391,2,2,2,1,1
392,5,5,5,5,5
393,5,5,5,5,5
394,5,5,5,5,5
395,4,3,3,3,1
396,5,5,5,5,5
397,5,5,5,5,5
398,1,4,5,5,1
399,5,5,5,5,5
400,5,5,5,5,5
401,5,5,5,5,5
402,5,5,5,3,1
403,5,5,5,5,5
404,3,3,3,2,3
405,5,5,5,5,5
406,5,5,5,5,4
407,5,5,5,5,5
408,1,1,1,1,1
409,5,3,4,1,1
410,5,5,5,5,5
411,5,5,5,5,5
412,1,1,4,3,1
413,5,5,2,5,5
414,5,5,5,5,5
415,4,4,4,5,5
416,5,5,5,5,5
417,1,1,2,1,1
418,2,2,2,5,5
419,5,5,5,5,5
420,5,5,5,5,4
421,5,5,5,5,5
422,5,5,5,1,1
423,5,5,5,5,5
424,2,5,3,5,5
425,4,5,5,3,1
426,5,5,5,5,4
427,4,4,4,5,5
428,5,5,5,5,2
429,5,5,5,5,5
430,4,5,5,5,1
431,4,2,2,5,2
432,5,5,5,5,5
433,5,5,5,5,2
434,5,5,5,5,3
435,1,3,3,3,1
436,5,5,5,5,5
437,5,5,5,4,3
438,3,3,3,1,2
439,2,2,5,3,1
440,5,5,5,5,5
441,5,5,5,5,5
442,5,5,5,4,5
443,5,5,5,5,5
444,5,5,5,5,5
445,3,3,3,5,5
446,3,5,1,5,1
447,5,5,5,5,4
448,5,5,5,5,5
449,3,3,5,5,1
450,5,5,5,5,5
451,5,5,5,5,5
452,5,5,4,1,1
453,3,3,3,1,1
454,5,5,5,5,2
455,5,5,5,5,5
456,5,5,5,5,5
457,5,5,5,5,5
458,5,5,5,5,5
459,5,5,5,5,5
460,5,5,5,5,4
461,5,5,5,5,5
462,3,3,3,5,5
463,5,5,5,5,5
464,5,5,5,5,5
465,1,1,1,1,1
466,5,5,5,5,5
467,1,1,3,1,1
468,5,5,5,5,5
469,5,5,5,5,5
470,1,5,5,1,1
471,5,5,5,5,5
472,5,5,5,5,5
473,3,5,5,5,1
474,5,5,5,5,2
475,5,5,5,5,5
476,2,2,2,2,2
477,4,3,4,5,1
478,5,5,5,5,5
479,5,5,5,4,5
480,3,3,5,5,5
481,5,5,5,5,5
482,5,5,5,5,5
483,4,5,5,5,2
484,5,5,5,5,3
485,2,4,2,3,1
486,3,3,3,5,4
487,3,5,5,5,1
488,5,5,5,5,5
489,4,4,4,5,2
490,5,5,5,5,5
491,5,5,5,5,3
492,5,5,5,5,2
493,5,5,5,5,5
494,5,5,5,5,5
495,5,5,5,5,5
496,5,5,5,5,5
497,2,2,5,5,2
498,5,5,5,5,5
499,3,1,5,3,1
500,4,4,4,5,5
501,5,5,5,5,5
502,3,3,3,5,5
503,4,5,3,5,5
504,2,3,3,3,1
505,5,5,5,5,4
506,5,5,5,5,5
507,5,5,5,5,1
508,3,3,3,5,5
509,5,5,5,5,5
510,5,5,5,5,5
511,5,5,5,5,5
512,5,5,5,5,1
513,5,5,5,5,5
514,5,5,5,5,5
515,3,3,3,1,1
516,5,5,5,5,4
517,1,3,3,1,1
518,5,5,5,5,5
519,5,5,5,5,5
520,2,2,2,5,2
521,3,3,3,5,5
522,4,5,5,5,5
523,5,5,5,1,5
524,5,5,5,5,5
525,5,5,5,1,3
526,5,5,5,1,1
527,5,5,5,5,5
528,5,5,5,5,4
529,2,2,2,5,2
530,5,5,5,3,1
531,5,5,5,5,5
532,4,4,4,4,5
533,5,5,5,5,5
534,4,4,4,5,5
535,5,5,5,5,1
536,5,5,5,5,5
537,5,5,5,5,5
538,5,5,5,5,5
539,5,5,5,5,5
540,5,5,5,5,5
541,1,3,2,1,1
542,5,5,5,5,5
543,4,4,5,5,4
544,5,5,5,5,5
545,5,5,5,5,5
546,5,5,5,4,5
547,5,5,5,5,5
548,5,5,5,5,5
549,5,5,5,5,5
550,5,5,5,5,5
551,5,5,5,5,5
552,4,5,5,5,5
553,5,5,5,5,5
554,5,5,5,5,5
555,5,4,4,5,2
556,5,5,5,5,5
557,5,5,5,5,5
558,4,4,4,5,5
559,5,5,5,5,5
560,5,5,5,5,5
561,5,5,5,5,5
562,5,5,5,5,2
563,5,5,5,5,5
564,5,5,4,5,2
565,4,4,4,5,4
566,5,5,5,5,5
567,5,5,5,5,4
568,4,4,4,5,4
569,5,5,5,5,5
570,4,4,4,2,4
571,5,5,5,5,5
572,5,5,5,5,2
573,5,5,5,5,5
574,4,4,4,5,5
575,4,4,4,5,5
576,2,2,2,5,4
577,5,5,5,1,1
578,4,4,4,4,1
579,5,5,5,5,5
580,5,5,5,5,1
581,5,5,5,5,5
582,5,5,5,5,4
583,5,5,5,5,5
584,4,4,4,5,5
585,5,5,5,5,5
586,5,4,5,5,5
587,5,5,5,5,5
588,5,5,5,5,5
589,3,3,3,5,5
590,5,5,5,5,5
591,5,5,5,5,5
592,5,5,3,5,5
593,5,5,5,5,5
594,5,5,3,1,1
595,4,4,4,5,5
596,5,5,5,5,5
597,5,5,5,5,4
598,4,5,1,5,5
599,5,5,5,5,5
600,5,5,5,5,5
601,5,5,5,1,1
602,5,5,5,5,5
603,5,5,5,5,5
604,5,5,5,5,3
605,3,3,3,3,2
606,5,5,5,5,5
607,5,5,5,5,4
608,5,5,5,5,5
609,5,5,5,5,1
610,5,5,5,5,2
611,5,5,5,5,5
612,5,5,5,5,5
613,4,4,4,5,5
614,5,5,5,5,5
615,3,3,5,5,4
616,5,5,5,5,5
617,4,4,4,5,5
618,5,5,5,5,5
619,5,5,5,5,1
620,5,5,5,5,5
621,5,5,5,5,5
622,5,5,4,5,5
623,5,5,5,5,5
624,5,5,5,5,5
625,5,5,5,4,4
626,5,5,5,5,3
627,4,4,4,5,5
628,2,2,4,5,1
629,5,5,5,5,5
630,5,5,5,1,1
631,5,5,5,5,5
632,5,5,5,5,5
633,4,4,4,5,5
634,5,5,5,5,5
635,1,1,1,1,2
636,5,5,5,5,1
637,1,3,3,5,2
638,5,5,5,5,5
639,4,5,5,5,1
640,1,4,3,5,2
641,4,4,4,5,4
642,3,4,2,5,2
643,3,3,3,5,5
644,4,2,5,1,1
645,5,5,5,5,5
646,5,5,5,5,3
647,5,5,5,5,5
648,3,3,3,5,5
649,5,5,5,5,5
650,5,3,5,1,1
651,4,5,5,1,1
652,1,2,2,3,1
653,5,5,5,5,5
654,3,4,4,1,2
655,1,1,1,1,1
656,5,5,5,5,5
657,4,4,3,1,1
658,3,3,3,5,5
659,5,5,5,5,5
660,5,5,5,5,5
661,3,4,4,5,1
662,5,5,5,5,5
663,3,5,5,5,5
664,5,5,5,5,2
665,3,3,3,3,2
666,5,5,5,5,5
667,5,1,3,1,1
668,4,4,4,5,5
669,3,5,2,5,5
670,5,5,5,5,5
671,5,5,5,5,5
672,5,5,5,5,5
673,5,5,3,5,5
674,5,5,5,5,3
675,3,3,3,5,4
676,2,4,2,3,1
677,5,5,5,5,5
678,5,5,5,5,5
679,4,5,3,3,1
680,5,5,5,5,5
681,5,5,5,5,5
682,5,5,5,5,5
683,4,3,3,1,1
684,5,5,5,5,5
685,2,2,2,2,2
686,5,5,5,5,5
687,5,5,5,5,5
688,5,5,5,5,5
689,5,5,5,5,3
690,5,5,5,5,5
691,5,5,5,3,2
692,3,5,3,3,1
693,5,5,5,5,5
694,4,4,4,5,5
695,5,5,5,5,5
696,5,5,5,5,5
697,5,5,5,5,5
698,5,5,5,5,5
699,5,5,5,5,5
700,2,2,2,5,5
701,5,5,5,5,4
702,5,5,5,5,5
703,4,4,4,3,2
704,5,5,5,5,5
705,4,4,4,5,5
706,5,5,5,5,5
707,3,3,3,5,4
708,4,5,2,5,1
709,5,5,5,5,5
710,4,3,5,3,1
711,5,5,5,5,4
712,5,5,5,5,5
713,5,5,5,5,5
714,4,4,4,5,5
715,3,5,5,5,5
716,5,5,5,5,5
717,5,5,5,1,5
718,2,2,1,1,1
719,2,2,2,1,1
720,2,2,2,5,2
721,4,4,4,5,5
722,5,5,5,1,5
723,5,3,3,5,1
724,5,5,5,5,5
725,5,5,5,1,5
726,4,4,4,5,1
727,5,5,3,5,1
728,4,5,5,5,2
729,5,5,5,5,2
730,1,3,5,5,1
731,5,5,5,5,5
732,5,5,5,5,5
733,5,5,5,1,5
734,5,1,2,5,1
735,5,5,5,5,5
736,5,5,5,5,5
737,4,4,4,5,5
738,5,5,5,5,5
739,2,2,2,5,2
740,4,4,4,5,5
741,4,4,3,5,1
742,5,5,5,5,5
743,5,5,5,5,5
744,5,5,5,5,5
745,5,5,5,5,5
746,5,5,5,5,5
747,5,5,5,5,5
748,5,5,5,1,5
749,5,5,5,5,5
750,5,5,5,5,4
751,5,5,5,5,5
752,3,3,4,3,1
753,5,3,3,1,1
754,2,4,4,3,2
755,2,5,4,5,5
756,5,5,5,5,5
757,3,3,3,2,2
758,5,5,5,5,5
759,2,3,3,1,1
760,5,5,5,5,5
761,5,5,5,5,5
762,5,5,5,5,4
763,5,5,4,5,2
764,3,3,3,1,3
765,5,5,5,5,5
766,4,4,4,5,4
767,3,5,5,5,1
768,5,5,5,5,2
769,4,4,4,5,2
770,1,5,5,5,1
771,5,5,5,5,5
772,5,5,5,5,5
773,5,5,5,5,5
774,5,3,5,5,1
775,5,5,5,5,5
776,2,5,5,5,1
777,3,3,3,5,5
778,5,5,3,4,2
779,2,3,5,5,1
780,4,4,4,5,4
781,5,5,5,5,5
782,5,5,5,5,5
783,4,4,4,5,5
784,1,1,1,1,1
785,1,5,5,3,2
786,5,5,5,5,5
787,5,5,5,5,2
788,5,5,5,5,4
789,4,4,4,5,2
790,3,3,3,5,5
791,3,3,3,1,4
792,5,5,5,2,3
793,5,5,5,5,5
794,5,5,5,5,5
795,4,4,3,5,5
796,5,5,5,5,5
797,3,5,5,5,5
798,3,3,3,5,5
799,5,5,5,5,5
800,5,5,5,5,5
801,5,5,5,5,5
802,5,5,5,5,4
803,4,4,4,5,5
804,5,5,5,5,5
805,1,3,5,1,1
806,5,5,3,5,1
807,4,4,4,4,4
808,3,5,5,5,2
809,5,5,5,5,5
810,5,5,5,5,5
811,5,5,5,5,5
812,3,3,3,5,5
813,5,5,5,5,5
814,5,5,5,5,4
815,5,5,5,5,5
816,3,3,3,5,5
817,5,5,5,5,5
818,5,5,5,5,1
819,5,5,5,5,5
820,5,5,5,5,5
821,4,5,3,5,3
822,5,5,5,4,5
823,5,5,5,5,5
824,5,5,5,5,5
825,5,5,5,5,5
826,5,5,5,5,5
